Rank Position,Player ID,Points,Reward Dollars,status,account id,battlePass level,battlePass progress,image,overall score,overall scorePerMin,overall scorePerMatch,overall wins,overall top3,overall top5,overall top6,overall top10,overall top12,overall top25,overall kills,overall killsPerMin,overall killsPerMatch,overall deaths,overall kd,overall matches,overall winRate,overall minutesPlayed,overall playersOutlived,overall lastModified,solo score,solo scorePerMin,solo scorePerMatch,solo wins,solo top10,solo top25,solo kills,solo killsPerMin,solo killsPerMatch,solo deaths,solo kd,solo matches,solo winRate,solo minutesPlayed,solo playersOutlived,solo lastModified,duo score,duo scorePerMin,duo scorePerMatch,duo wins,duo top5,duo top12,duo kills,duo killsPerMin,duo killsPerMatch,duo deaths,duo kd,duo matches,duo winRate,duo minutesPlayed,duo playersOutlived,duo lastModified,trio score,trio scorePerMin,trio scorePerMatch,trio wins,trio top3,trio top6,trio kills,trio killsPerMin,trio killsPerMatch,trio deaths,trio kd,trio matches,trio winRate,trio minutesPlayed,trio playersOutlived,trio lastModified,squad score,squad scorePerMin,squad scorePerMatch,squad wins,squad top3,squad top6,squad kills,squad killsPerMin,squad killsPerMatch,squad deaths,squad kd,squad matches,squad winRate,squad minutesPlayed,squad playersOutlived,squad lastModified,ltm score,ltm scorePerMin,ltm scorePerMatch,ltm wins,ltm kills,ltm killsPerMin,ltm killsPerMatch,ltm deaths,ltm kd,ltm matches,ltm winRate,ltm minutesPlayed,ltm playersOutlived,ltm lastModified
1,Bugha,59,"3,000,000",Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Psalm,33,"1,800,000",Available,5ca459a055b74b68bd6cd661fcfe0021,28.0,80.0,,871019.0,22.728,104.401,241.0,266.0,246.0,465.0,604.0,551.0,1287.0,10131.0,0.264,1.214,8102.0,1.25,8343.0,2.889,38324.0,250641.0,2020-09-20T18:07:15Z,450063.0,23.049,109.133,86.0,589.0,1264.0,4788.0,0.245,1.161,4038.0,1.186,4124.0,2.085,19526.0,131342.0,2020-09-20T18:07:15Z,194331.0,22.66,91.839,68.0,219.0,508.0,2287.0,0.267,1.081,2048.0,1.117,2116.0,3.214,8576.0,58782.0,2020-09-20T11:26:31Z,91710.0,19.774,195.544,15.0,61.0,117.0,659.0,0.142,1.405,454.0,1.452,469.0,3.198,4638.0,23243.0,2020-08-26T03:42:29Z,134915.0,24.161,82.567,72.0,159.0,281.0,2397.0,0.429,1.467,1562.0,1.535,1634.0,4.406,5584.0,37274.0,2020-09-13T01:22:59Z,100855.0,28.434,131.837,49.0,1532.0,0.432,2.003,716.0,2.14,765.0,6.405,3547.0,19375.0,2020-08-10T01:00:49Z
3,EpikWhale,32,"1,200,000",Unavailable,7b61d49d637445f8b6b985ccf8e3a086,1.0,0.0,,11213.0,39.622,164.897,37.0,0.0,32.0,0.0,8.0,32.0,12.0,296.0,1.046,4.353,31.0,9.548,68.0,54.412,283.0,1718.0,2020-07-14T09:10:30Z,11213.0,39.622,329.794,6.0,8.0,12.0,211.0,0.746,6.206,28.0,7.536,34.0,17.647,283.0,1718.0,2020-07-14T09:10:30Z,0.0,0.0,0.0,31.0,32.0,32.0,85.0,0.0,2.5,3.0,28.333,34.0,91.176,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Kreo,30,"1,050,000",Unavailable,7e742472755b459187598f85ea2ae480,1.0,0.0,,420.0,19.091,32.308,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.364,0.615,13.0,0.615,13.0,0.0,22.0,110.0,2020-07-21T21:03:13Z,34.0,17.0,11.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,28.0,2020-07-21T20:32:34Z,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,386.0,19.3,128.667,0.0,0.0,0.0,8.0,0.4,2.667,3.0,2.667,3.0,0.0,20.0,82.0,2020-07-21T21:03:13Z,,,,,,,,,,,,,,
5,King,30,"900,000",Available,f3310f14c68f4266a7cf93adf467799b,43.0,19.0,,1240044.0,26.982,109.506,2455.0,2028.0,1462.0,2699.0,616.0,2086.0,864.0,50406.0,1.097,4.451,8869.0,5.683,11324.0,21.68,45958.0,253717.0,2020-09-16T00:17:15Z,128629.0,25.157,84.402,318.0,606.0,852.0,6407.0,1.253,4.204,1206.0,5.313,1524.0,20.866,5113.0,27189.0,2020-09-10T04:06:35Z,386274.0,25.647,95.969,879.0,1418.0,2034.0,16964.0,1.126,4.215,3146.0,5.392,4025.0,21.839,15061.0,81466.0,2020-09-04T07:54:53Z,169838.0,22.766,246.858,70.0,121.0,182.0,1709.0,0.229,2.484,618.0,2.765,688.0,10.174,7460.0,35588.0,2020-09-16T00:17:15Z,555303.0,30.305,109.161,1188.0,1817.0,2412.0,25326.0,1.382,4.979,3899.0,6.496,5087.0,23.354,18324.0,109474.0,2020-09-04T08:40:48Z,106970.0,35.68,199.944,177.0,3930.0,1.311,7.346,358.0,10.978,535.0,33.084,2998.0,13444.0,2020-05-13T05:35:22Z
6,Crue,27,"600,000",Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Skite,26,"525,000",Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Nayte,26,"375,000",Unavailable,09870282a71142edb57dfe48e304baf1,1.0,0.0,,8419.0,24.982,27.071,11.0,33.0,6.0,48.0,5.0,8.0,13.0,382.0,1.134,1.228,300.0,1.273,311.0,3.537,337.0,2226.0,2020-03-06T03:10:28Z,0.0,0.0,0.0,0.0,5.0,13.0,59.0,0.0,1.255,47.0,1.255,47.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,465.0,29.062,12.917,0.0,5.0,7.0,36.0,2.25,1.0,36.0,1.0,36.0,0.0,16.0,90.0,2019-08-08T17:38:22Z,1287.0,21.45,143.0,0.0,1.0,2.0,9.0,0.15,1.0,9.0,1.0,9.0,0.0,60.0,441.0,2019-08-10T19:38:15Z,6667.0,25.544,30.443,11.0,28.0,42.0,278.0,1.065,1.269,208.0,1.337,219.0,5.023,261.0,1695.0,2020-03-06T03:10:28Z,5421.0,23.266,78.565,8.0,100.0,0.429,1.449,61.0,1.639,69.0,11.594,233.0,1413.0,2019-01-29T04:20:43Z
9,Riversan,24,"300,000",Unavailable,0ccafc2bac7d42acbd65072d7c3ddbcd,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.167,12.0,0.167,12.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,5.0,0.4,5.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,
10,Fatch,24,"225,000",Unavailable,85fc0040c8a345b78a7cae7e1caaa3e9,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.389,18.0,0.389,18.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.389,18.0,0.389,18.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.333,3.0,0.333,3.0,0.0,0.0,0.0,1970-01-01T00:00:00Z
