,Player ID,Player Name,Total (Overall),Highest Paying Game,Total (Game),% of Total
1.0,N0tail,Johan Sundstein,"$6,940,222.80",Dota 2,"$6,928,496.58",99.83%
2.0,JerAx,Jesse Vainikka,"$6,470,548.78",Dota 2,"$6,470,000.02",99.99%
3.0,ana,Anathan Pham,"$6,000,411.96",Dota 2,"$6,000,411.96",100.00%
4.0,Ceb,SÃ©bastien Debs,"$5,530,197.41",Dota 2,"$5,530,197.41",100.00%
5.0,Topson,Topias Taavitsainen,"$5,448,502.57",Dota 2,"$5,448,502.57",100.00%
6.0,KuroKy,Kuro Takhasomi,"$5,190,106.15",Dota 2,"$5,188,382.81",99.97%
7.0,Miracle-,Amer Al-Barkawi,"$4,789,911.48",Dota 2,"$4,789,911.48",100.00%
8.0,MinD_ContRoL,Ivan Ivanov,"$4,570,985.96",Dota 2,"$4,570,985.96",100.00%
9.0,GH,Maroun Merhej,"$4,183,919.04",Dota 2,"$4,183,919.04",100.00%
10.0,Matumbaman,Lasse Urpalainen,"$3,740,194.44",Dota 2,"$3,740,194.44",100.00%
11.0,SumaiL,Sumail Hassan,"$3,608,317.34",Dota 2,"$3,608,317.34",100.00%
12.0,Bugha,Kyle Giersdorf,"$3,072,333.34",Fortnite,"$3,072,333.34",100.00%
13.0,UNiVeRsE,Saahil Arora,"$3,057,237.67",Dota 2,"$3,057,237.67",100.00%
14.0,ppd,Peter Dager,"$3,023,331.36",Dota 2,"$2,995,619.62",99.08%
15.0,Somnusä¸¶M,Lu Yao,"$2,980,492.04",Dota 2,"$2,980,492.04",100.00%
16.0,fy,"Xu, Linsen","$2,890,200.24",Dota 2,"$2,890,200.24",100.00%
17.0,Puppey,Clement Ivanov,"$2,839,899.63",Dota 2,"$2,838,829.57",99.96%
18.0,Fear,Clinton Loomis,"$2,553,013.19",Dota 2,"$2,551,657.34",99.95%
19.0,s4,Gustav Magnusson,"$2,538,330.51",Dota 2,"$2,533,271.74",99.80%
20.0,Zai,Ludwig WÃ¥hlberg,"$2,499,054.42",Dota 2,"$2,478,959.71",99.20%
21.0,Fly,Tal Aizik,"$2,398,570.81",Dota 2,"$2,381,155.91",99.27%
22.0,w33,Aliwi Omar,"$2,267,493.38",Dota 2,"$2,267,493.38",100.00%
23.0,Arteezy,Artour Babaev,"$2,257,053.21",Dota 2,"$2,257,053.21",100.00%
24.0,Ame,"Wang, Chunyu","$2,226,126.67",Dota 2,"$2,226,126.67",100.00%
25.0,y`,Zhang Yiping,"$2,079,209.68",Dota 2,"$2,079,209.68",100.00%
26.0,Faith_bian,Zhang Ruida,"$2,057,649.26",Dota 2,"$2,057,649.26",100.00%
27.0,Cr1t,Andreas Nielsen,"$2,006,709.40",Dota 2,"$2,006,709.40",100.00%
28.0,Aui_2000,Kurtis Ling,"$2,005,894.44",Dota 2,"$2,005,894.44",100.00%
29.0,iceice,"Li, Peng","$2,002,159.51",Dota 2,"$2,002,159.51",100.00%
30.0,Shadow,Chu Zeyu,"$1,982,225.70",Dota 2,"$1,982,225.70",100.00%
31.0,bLink,Zhou Yang,"$1,960,956.47",Dota 2,"$1,960,956.47",100.00%
32.0,psalm,Harrison Chang,"$1,954,950.00",Fortnite,"$1,870,738.80",95.69%
33.0,Aqua,David Wang,"$1,900,941.23",Fortnite,"$1,900,941.23",100.00%
34.0,xNova,"Yap, Jianwei","$1,877,096.16",Dota 2,"$1,877,096.16",100.00%
