 account id, account name, battlePass level, battlePass progress, overall score, overall scorePerMin, overall scorePerMatch, overall wins, overall top3, overall top5, overall top6, overall top10, overall top12, overall top25, overall kills, overall killsPerMin, overall killsPerMatch, overall deaths, overall kd, overall matches, overall winRate, overall minutesPlayed, overall playersOutlived, overall lastModified, solo score, solo scorePerMin, solo scorePerMatch, solo wins, solo top10, solo top25, solo kills, solo killsPerMin, solo killsPerMatch, solo deaths, solo kd, solo matches, solo winRate, solo minutesPlayed, solo playersOutlived, solo lastModified, duo score, duo scorePerMin, duo scorePerMatch, duo wins, duo top5, duo top12, duo kills, duo killsPerMin, duo killsPerMatch, duo deaths, duo kd, duo matches, duo winRate, duo minutesPlayed, duo playersOutlived, duo lastModified, trio score, trio scorePerMin, trio scorePerMatch, trio wins, trio top3, trio top6, trio kills, trio killsPerMin, trio killsPerMatch, trio deaths, trio kd, trio matches, trio winRate, trio minutesPlayed, trio playersOutlived, trio lastModified, squad score, squad scorePerMin, squad scorePerMatch, squad wins, squad top3, squad top6, squad kills, squad killsPerMin, squad killsPerMatch, squad deaths, squad kd, squad matches, squad winRate, squad minutesPlayed, squad playersOutlived, squad lastModified, ltm score, ltm scorePerMin, ltm scorePerMatch, ltm wins, ltm kills, ltm killsPerMin, ltm killsPerMatch, ltm deaths, ltm kd, ltm matches, ltm winRate, ltm minutesPlayed, ltm playersOutlived, ltm lastModified
121afd34c94d4a6eae6d2aa305452a1a,Aqua,1.0,0.0,203707.0,23.067,60.251,52.0,78.0,77.0,172.0,56.0,234.0,139.0,2918.0,0.33,0.863,3329.0,0.877,3381.0,1.538,8831.0,67849.0,2020-09-09T21:58:53Z,56772.0,23.373,65.33,8.0,52.0,132.0,740.0,0.305,0.852,861.0,0.859,869.0,0.921,2429.0,21476.0,2020-08-18T05:47:23Z,92314.0,23.177,76.546,17.0,73.0,217.0,1006.0,0.253,0.834,1189.0,0.846,1206.0,1.41,3983.0,29673.0,2020-09-09T21:58:53Z,2759.0,23.784,153.278,1.0,1.0,3.0,21.0,0.181,1.167,17.0,1.235,18.0,5.556,116.0,773.0,2019-09-19T23:58:54Z,51862.0,22.519,40.266,26.0,60.0,140.0,1151.0,0.5,0.894,1262.0,0.912,1288.0,2.019,2303.0,15927.0,2020-08-12T01:20:57Z,156911.0,38.984,218.235,45.0,1263.0,0.314,1.757,674.0,1.874,719.0,6.259,4025.0,12108.0,2020-09-09T22:14:51Z
5ca459a055b74b68bd6cd661fcfe0021,Psalm,1.0,0.0,869135.0,22.708,104.225,239.0,266.0,245.0,465.0,602.0,550.0,1285.0,10111.0,0.264,1.212,8100.0,1.248,8339.0,2.866,38275.0,250351.0,2020-09-13T01:22:59Z,448864.0,23.027,108.921,85.0,587.0,1262.0,4774.0,0.245,1.158,4036.0,1.183,4121.0,2.063,19493.0,131149.0,2020-09-13T00:07:56Z,193646.0,22.622,91.558,67.0,218.0,507.0,2281.0,0.266,1.078,2048.0,1.114,2115.0,3.168,8560.0,58685.0,2020-09-12T23:33:40Z,91710.0,19.774,195.544,15.0,61.0,117.0,659.0,0.142,1.405,454.0,1.452,469.0,3.198,4638.0,23243.0,2020-08-26T03:42:29Z,134915.0,24.161,82.567,72.0,159.0,281.0,2397.0,0.429,1.467,1562.0,1.535,1634.0,4.406,5584.0,37274.0,2020-09-13T01:22:59Z,100855.0,28.434,131.837,49.0,1532.0,0.432,2.003,716.0,2.14,765.0,6.405,3547.0,19375.0,2020-08-10T01:00:49Z
37ed3f19bcc84880a75bbcb98a775a46,Wolfiez,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2aed14dea20c4d51aff3f2d6087f8e22,Rojo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.111,9.0,0.111,9.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.167,6.0,0.167,6.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0,0.0,0.0,1970-01-01T00:00:00Z
7e742472755b459187598f85ea2ae480,Kreo,1.0,0.0,420.0,19.091,32.308,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.364,0.615,13.0,0.615,13.0,0.0,22.0,110.0,2020-07-21T21:03:13Z,34.0,17.0,11.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,28.0,2020-07-21T20:32:34Z,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,386.0,19.3,128.667,0.0,0.0,0.0,8.0,0.4,2.667,3.0,2.667,3.0,0.0,20.0,82.0,2020-07-21T21:03:13Z,,,,,,,,,,,,,,
f3310f14c68f4266a7cf93adf467799b,King,36.0,0.0,1235708.0,26.986,109.219,2451.0,2022.0,1462.0,2693.0,616.0,2086.0,864.0,50372.0,1.1,4.452,8863.0,5.683,11314.0,21.663,45791.0,253134.0,2020-09-10T04:06:35Z,128629.0,25.157,84.402,318.0,606.0,852.0,6407.0,1.253,4.204,1206.0,5.313,1524.0,20.866,5113.0,27189.0,2020-09-10T04:06:35Z,386274.0,25.647,95.969,879.0,1418.0,2034.0,16964.0,1.126,4.215,3146.0,5.392,4025.0,21.839,15061.0,81466.0,2020-09-04T07:54:53Z,165502.0,22.693,244.103,66.0,115.0,176.0,1675.0,0.23,2.471,612.0,2.737,678.0,9.735,7293.0,35005.0,2020-09-08T19:10:39Z,555303.0,30.305,109.161,1188.0,1817.0,2412.0,25326.0,1.382,4.979,3899.0,6.496,5087.0,23.354,18324.0,109474.0,2020-09-04T08:40:48Z,106970.0,35.68,199.944,177.0,3930.0,1.311,7.346,358.0,10.978,535.0,33.084,2998.0,13444.0,2020-05-13T05:35:22Z
b73e2e2655fa4ac2a54ab6e576f68f8b,Elevate,1.0,0.0,502794.0,25.717,81.135,318.0,292.0,455.0,495.0,140.0,860.0,326.0,11662.0,0.596,1.882,5879.0,1.984,6197.0,5.132,19551.0,126125.0,2020-07-27T23:17:05Z,85566.0,27.069,69.397,26.0,136.0,319.0,2211.0,0.699,1.793,1207.0,1.832,1233.0,2.109,3161.0,22815.0,2020-07-27T23:17:05Z,230768.0,25.309,82.417,154.0,441.0,838.0,5217.0,0.572,1.863,2646.0,1.972,2800.0,5.5,9118.0,57112.0,2020-05-08T05:13:27Z,53498.0,22.007,211.455,16.0,33.0,54.0,406.0,0.167,1.605,237.0,1.713,253.0,6.324,2431.0,11002.0,2019-10-13T16:19:02Z,132962.0,27.466,69.577,122.0,253.0,427.0,3828.0,0.791,2.003,1789.0,2.14,1911.0,6.384,4841.0,35196.0,2020-05-28T19:25:06Z,34613.0,34.857,67.736,43.0,1098.0,1.106,2.149,468.0,2.346,511.0,8.415,993.0,6145.0,2020-01-15T21:05:26Z
3963a6b44d764bc8a983a2ed065210d0,Mongraal,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,47.0,0.0,3.615,12.0,3.917,13.0,7.692,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,1.0,2.0,2.0,47.0,0.0,3.615,12.0,3.917,13.0,7.692,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2cf1c747bcd84c66a307d648d85c55c8,Bizzle,1.0,0.0,427093.0,25.888,66.89,282.0,309.0,408.0,550.0,245.0,822.0,504.0,10154.0,0.615,1.59,6103.0,1.664,6385.0,4.417,16498.0,116114.0,2020-09-05T04:23:16Z,66257.0,24.825,42.554,47.0,222.0,453.0,1908.0,0.715,1.225,1510.0,1.264,1557.0,3.019,2669.0,21032.0,2020-09-02T18:16:10Z,179106.0,27.117,67.587,129.0,376.0,746.0,4485.0,0.679,1.692,2521.0,1.779,2650.0,4.868,6605.0,46137.0,2020-09-05T04:23:16Z,20707.0,22.483,171.132,3.0,12.0,24.0,137.0,0.149,1.132,118.0,1.161,121.0,2.479,921.0,6271.0,2020-08-13T20:37:29Z,161023.0,25.547,78.281,103.0,260.0,470.0,3624.0,0.575,1.762,1954.0,1.855,2057.0,5.007,6303.0,42674.0,2020-08-27T05:04:36Z,125616.0,34.015,125.994,139.0,3147.0,0.852,3.156,858.0,3.668,997.0,13.942,3693.0,14979.0,2020-08-18T03:28:15Z
9d47ce293b484f5f9c1a45ed79ed5084,Stompy,1.0,0.0,0.0,0.0,0.0,23.0,32.0,3.0,54.0,17.0,6.0,37.0,375.0,0.0,1.19,292.0,1.284,315.0,7.302,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,3.0,16.0,36.0,152.0,0.0,1.197,124.0,1.226,127.0,2.362,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,1.0,3.0,6.0,23.0,0.0,0.697,32.0,0.719,33.0,3.03,0.0,0.0,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,0.0,0.0,0.0,19.0,31.0,49.0,200.0,0.0,1.29,136.0,1.471,155.0,12.258,0.0,0.0,1970-01-01T00:00:00Z,0.0,0.0,0.0,4.0,31.0,0.0,1.476,17.0,1.824,21.0,19.048,0.0,0.0,1970-01-01T00:00:00Z
